file,artist,title,lyrics,genre,mood,year
,মোহাম্মদ ওসমান খান,আমার সোনার ময়না পাখি,আমার সোনার ময়না পাখি কোন দেশেতে গেলা উইড়া রে দিয়া মোরে ফাঁকি রে আমার সোনার ময়না পাখি সোনা বরণ পাখিরে আমার কাজল বরণ আঁখি দিবানিশি মন চায়রে বাইন্ধা তরে রাখি রে আমার সোনার ময়না পাখি,সিনেমা,বেদনা,২০০৯
,তৌসিফ ,দূরে কোথাও ,দুরে কোথাও আছি বসে হাত দুটো দাও বাড়িয়ে বিরহ ছুঁতে চায় মনের দুয়ার দুচোখ নির্বাক আসনা ছুটে তুমি এলে রংধনু রং ঢেলে দেয়  তুমি এলে মেঘেরা বৃষ্টি ঝরায় এ মনের অহলাগ আসনা ছুটে অনুরাগে ঝরে চাদ-ও আজ  এ লগনেও এলেনা অনুভব নিশ্চুপ আজ  কথা যে বলেনা ভালো যদি বাসো তুমি আমাকে ছুটে চলে আসনা দুরে কোথাও আছি বসে হাত দুটো দাও বাড়িয়ে বিরহ ছুঁতে চায় মনের দুয়ার দুচোখ নির্বাক আসনা ছুটে,ব্যান্ড,বেদনা,২০১০
,সুমন চ্যাটার্জী ,তোমাকে চাই ,প্রথমত আমি তোমাকে চাই দ্বিতীয়ত আমি তোমাকে চাই তৃতীয়ত আমি তোমাকে চাই শেষ পযর্ন্ত আমি তোমাকে চাই,ব্যান্ড,বেদনা,২০১০
,শিরোনামহীন,সূর্য,অচিন পাখি দিল ফাঁকি উদাস বাউল কাকে ডাকি জলের মাঝে জীবনগুলো তেপান্তরের পাথর ধুলো সাগর তীরের জীবন দেয়াল সূর্যটাকে রাখিস খেয়াল গাছের চূড়ায় নতুন শহর নদী পানি ফুলের বহর সময় কাঁটা আতশবাজি কাঁটাতারে বৃক্ষরাজি স্বপ্ন দহণ পূণ্য না সয় সত্যবচন ধর্মে না রয়,ব্যান্ড,বেদনা,২০১১ 
,রেজাই,নীতির পুরোহিত,আজ নিন্দুকের বিম্বতে আমার জীবন আজ সময়ের অর্গলে দিকভ্রান্ত উদভ্রান্ত তোমারই গ্লানির পূর্ণতায় আমি সময় তখন করছে গ্রা আমার ভূবন চারিদিকে ছুটোছুটি স্বপ্ন হাহাকার,ব্যান্ড,বেদনা,২০১১
,অঞ্জন দত্ত,আমি বৃষ্টি দেখেছি,আমি বৃষ্টি দেখেছি বৃষ্টির ছবি একেছি আমি রোদে পুড়ে ঘুরে ঘুরে অনেক কেঁদেছি আমার আকাশ কুসুম স্বপ্ন দেখার খেলা থামেনি শুধু তুমি চলে যাবে আমি স্বপ্নেও ভাবিনি আমি বৃষ্টি দেখেছি,আধুনিক,বেদনা,২০১১
,জেমস,বাবা ,ছেলে আমার বড় হবে মাকে বলত সে কথা হবে মানুষের মত মানুষ এক লেখা ইতিহাসের পাতায় নিজ হাতে খেতে পারতাম না বাবা বলত ও খোকা যখন আমি থাকবন কি করবি রে বোকা,ব্যান্ড,বেদনা,২০১১
,চন্দ্রবিন্দু,বন্ধু তোমায়,ছেড়া ঘুড়ি রঙিন বল এইটুকুই সম্বল আর ছিলো রোদ্দুরে পাওয়া বিকেলবেলা বাজে বকা রাত্রি দিন এসটিরিক্স টিনটিন এলোমেলো কথা উড়ে যেতো হাসির ঠেলায় সে হাসি ছুটে যেতো গোধুলী মিছিলে সবার অলক্ষেতে তুমিও কি ছিলে হাওয়ায় হাওয়ায় হাওয়ায় হাওয়ায় বন্ধু তোমায় এ গান শোনাবো বিকেলবেলায় আরেকবার যদি তোমাদের দলে নাও খেলায়,ব্যান্ড,আনন্দ,২০১১
,মান্না দে,খুব জানতে ইচ্ছে করে,খুব জানতে ইচ্ছে করে খুব জানতে ইচ্ছে করে তুমি কি সেই আগের মতই আছো নাকি অনেকখানি বদলে গেছ এখনো কি প্রথম সকাল হলে স্নানটি সেরে পূজার ফুল তুলে পূজার ছলে আমারই কথা ভাবো বসে ঠাকুর ঘরে,আধুনিক,বেদনা,২০১১
,অর্থহীন,চাইতে পারো,চাইতে পারো আবার সেই জোছনা ঘরের সিলিং এ সন্ধাতারাটা চাইতে পারো সারা রাত আর সারা দিন হবে না যে কখনো আর লোডশেডিং চাইতেই পারো আমার ঘাড়ে পা রেখে আকাশটা ছোয়ার স্বপ্ন দেখতে চাইতেই পারো শুনতে নতুন এক গান করবো না যেখানে তোমায় আর অপমান,ব্যান্ড,আনন্দ,২০১১
,অনুপম রায়,বাড়িয়ে দাও,বাড়িয়ে দাও তোমার হাত আমি আবার তোমার আঙুল ধরতে চাই বাড়িয়ে দাও তোমার হাত আমি আবার তোমার পাশেই হাঁটতে চাই বাড়িয়ে দাও তোমার হাত তোমার হাত,আধুনিক,বেদনা,২০১১
,বাপ্পা,ছায়ামেঘ,তোমায় ভালোবাসি তাই ছায়ামেঘ আমি হবো যখন রোদ্দুরে তুমি হাঁটো থাক চোখভাঙ্গা হাসি তাই নুনে ভরা ব্যথা জলটুকু তুমি আমার দু’চোখে বাটো,আধুনিক,বেদনা,২০১১
,এমিল,গড়বো বাংলাদেশ,আরো সাহস করে মাঠে নামো আজ সবাই একি সাথে জেগে ওঠো আবার চিৎকার করে ডাক দিয়ে যাও সাড়া দেবে সবাই,আধুনিক,আনন্দ,২০১১
,মিনার,আরও একটু দূরে,আরও একটু দূরে দূরে কোন পথ হারা সুরে তুমি এক ভবঘুরে ঘুরবেই কোন কান্ত দুপুরে এই ব্যস্ত শহরে জানি ঘুম ভেঙ্গে ঘরে ফিরবেই,আধুনিক,আনন্দ,২০১১
,রবীন্দ্র ,যখন পড়বে না মোর পায়ের চিহ্ন,যখন পড়বে না মোর পায়ের চিহ্ন এই বাটে আমি বাইব না মোর খেয়াতরী এই ঘাটে চুকিয়ে দেব বেচা কেনা মিটিয়ে দেব গো মিটিয়ে দেব লেনাদেনা বন্ধ হবে আনাগোনা এই হাটে তখন আমায় নাইবা মনে রাখলে,রবীন্দ্র সংগীত,বেদনা,২০১১
,শূন্য,স্মৃতির ছেড়া পাতা,আমি নিতে দেবো না সময়কে এক মুঠো ভরা জোছনা চাঁদটা যতই দূরের হোক না ছুতে আমি চাই না পৃথিবীর সব অপার বিস্ময় থাক আমার অ-দেখা শূন্য খাতার প্রতিটি পাতায় সময় কাব্য অ-লেখা আমি মেলবো না আর স্বপ্নডানা ঐ নীল মেঘেদের ছোঁয়ায়,ব্যান্ড,বেদনা,২০১১
,রূপম ইসলাম,বেঁচে থাকার গান,যদি কেড়ে নিতে বলে কবিতা ঠাসা খাতা যেন কেড়ে নিতে দেব না যদি ছেড়ে যেতে বলে শহুরে কথকতা যেন আমি ছাড়তে দেব না আর আমি আমি জানি জানি চোরা বালি কতখানি গিলেছে আমাদের,আধুনিক,বেদনা,২০১১
